Gene Name	Gene ID	Protein ID(s)	Description	set1_Amount PSMs	set2_Amount PSMs	set1_Amount Peptides	set2_Amount Peptides	set1_Amount Unique peptides	set2_Amount Unique peptides	set1_q-value	set2_q-value	set1_MS1 precursor area	set2_MS1 precursor area	1_set1_tmt16plex_126	2_set1_tmt16plex_127N	3_set1_tmt16plex_127C	4_set1_tmt16plex_128N	5_set1_tmt16plex_128C	6_set1_tmt16plex_129N	IS_set1_tmt16plex_129C	HC2_set1_tmt16plex_130N	HC3_set1_tmt16plex_130C	HC4_set1_tmt16plex_131N	IS_set1_tmt16plex_131C	17_set1_tmt16plex_132N	18_set1_tmt16plex_132C	19_set1_tmt16plex_133N	20_set1_tmt16plex_133C	IS_set1_tmt16plex_134N	IS_set2_tmt16plex_126	7_set2_tmt16plex_127N	8_set2_tmt16plex_127C	9_set2_tmt16plex_128N	10_set2_tmt16plex_128C	11_set2_tmt16plex_129N	12_set2_tmt16plex_129C	13_set2_tmt16plex_130N	14_set2_tmt16plex_130C	15_set2_tmt16plex_131N	16_set2_tmt16plex_131C	IS_set2_tmt16plex_132N	HC5_set2_tmt16plex_132C	HC6_set2_tmt16plex_133N	HC7_set2_tmt16plex_133C	HC9_set2_tmt16plex_134N	set1_Amount fully quanted PSMs	set1_tmt16plex_126 - Amount quanted PSMs	set1_tmt16plex_127N - Amount quanted PSMs	set1_tmt16plex_127C - Amount quanted PSMs	set1_tmt16plex_128N - Amount quanted PSMs	set1_tmt16plex_128C - Amount quanted PSMs	set1_tmt16plex_129N - Amount quanted PSMs	set1_tmt16plex_129C - Amount quanted PSMs	set1_tmt16plex_130N - Amount quanted PSMs	set1_tmt16plex_130C - Amount quanted PSMs	set1_tmt16plex_131N - Amount quanted PSMs	set1_tmt16plex_131C - Amount quanted PSMs	set1_tmt16plex_132N - Amount quanted PSMs	set1_tmt16plex_132C - Amount quanted PSMs	set1_tmt16plex_133N - Amount quanted PSMs	set1_tmt16plex_133C - Amount quanted PSMs	set1_tmt16plex_134N - Amount quanted PSMs	set2_Amount fully quanted PSMs	set2_tmt16plex_126 - Amount quanted PSMs	set2_tmt16plex_127N - Amount quanted PSMs	set2_tmt16plex_127C - Amount quanted PSMs	set2_tmt16plex_128N - Amount quanted PSMs	set2_tmt16plex_128C - Amount quanted PSMs	set2_tmt16plex_129N - Amount quanted PSMs	set2_tmt16plex_129C - Amount quanted PSMs	set2_tmt16plex_130N - Amount quanted PSMs	set2_tmt16plex_130C - Amount quanted PSMs	set2_tmt16plex_131N - Amount quanted PSMs	set2_tmt16plex_131C - Amount quanted PSMs	set2_tmt16plex_132N - Amount quanted PSMs	set2_tmt16plex_132C - Amount quanted PSMs	set2_tmt16plex_133N - Amount quanted PSMs	set2_tmt16plex_133C - Amount quanted PSMs	set2_tmt16plex_134N - Amount quanted PSMs
JCHAIN	ENSG00000132465.12	ENSP00000254801.4;ENSP00000426687.1;ENSP00000427112.1;ENSP00000426045.1;ENSP00000417560.1	joining chain of multimeric IgA and IgM [Source:HGNC Symbol;Acc:HGNC:5713]	4	6	3	3	3	3	0.0	0.0	1432083258.829834	6975018204.402995	-0.481289673612457	0.329012449577617	-0.080984927307246	0.375237495673063	0.201553942489503	-0.520327523443449	-0.0492367891542376	-0.685201800652173	0.439013082612358	-0.32976714439589	-0.0378418339703099	-0.0800491209166756	-0.514384924126999	-0.271960284147178	0.823426237360342	0.0756565702216525	-0.0298286613293772	0.35186996464364	-0.847450627708739	1.15472097943396	-0.988383498202145	0.480766561601872	-0.0779836368520055	-1.12802707706224	-0.349025770915635	0.443752404993955	-0.86712452861858	0.0298286613293754	-0.368344777114949	-0.561280945070839	-0.217588433822005	-0.270229290165038	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
ARL13B	ENSG00000169379.17	ENSP00000445145.1;ENSP00000506063.1;ENSP00000505402.1;ENSP00000506703.1;ENSP00000505168.1;ENSP00000306225.7;ENSP00000505366.1;ENSP00000505178.1;ENSP00000506243.1;ENSP00000506200.1;ENSP00000420780.1;ENSP00000377769.3;ENSP00000505607.1;ENSP00000505252.1;ENSP00000505036.1;ENSP00000505494.1;ENSP00000417263.1;ENSP00000506469.1;ENSP00000335400.3;ENSP00000505148.1;ENSP00000505396.1;ENSP00000504943.1	ADP ribosylation factor like GTPase 13B [Source:HGNC Symbol;Acc:HGNC:25419]	1	NA	1	NA	1	NA	0.0	NA	364542064.3046875	NA	-0.623390339484589	-0.378033981477174	-0.646042005918513	-0.666073423073595	-0.415489421807922	-0.242106470509159	-0.0524762130349252	0.909193171347514	0.575676085178433	1.66010034386536	-0.0161033210388943	-0.455694284663728	-0.38093509950482	-0.330083184949167	0.0795769554229206	0.0674568204760613	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MUC6	ENSG00000277518.3	ENSP00000487059.1;ENSP00000481532.1;ENSP00000486295.1;ENSP00000480618.1;ENSP00000490759.1;ENSP00000489650.1;ENSP00000490158.1;ENSP00000489668.1;ENSP00000406861.2;ENSP00000433246.1;ENSP00000436903.2;ENSP00000433790.1	mucin 6, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7517]	NA	1	NA	1	NA	1	NA	0.0	NA	465329790.8515625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0541408321703294	0.224345983469529	0.159162824743436	0.09799952992649	0.351305567727099	0.0921420700594666	-0.224701690967972	0.294077153837648	0.375356008432338	-0.0527947711326675	0.561850006563564	-0.0541408321703312	0.0941220288533025	-0.220256134117154	-0.523771348305957	-0.160067973096808	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SERPINA5	ENSG00000188488.14	ENSP00000450484.1;ENSP00000450837.1;ENSP00000451126.1;ENSP00000450745.1;ENSP00000451215.1;ENSP00000333203.7;ENSP00000451697.1;ENSP00000451650.1;ENSP00000451610.1;ENSP00000450485.1;ENSP00000451487.1	serpin family A member 5 [Source:HGNC Symbol;Acc:HGNC:8723]	43	46	17	20	16	19	0.0	0.0	6793719957.6771345	31524535746.42932	0.043928580908128	0.388039944722605	-0.153695601295883	-0.0782635276627799	0.0816552640725208	-0.426327845021283	0.0273440438138426	0.46724018505279	0.257546074256422	0.141444402608073	-0.0336349120739392	0.133765208059693	0.351969036361343	0.0368269921516102	0.0266728138376351	0.0126376050516903	0.0165968144294073	0.128616730029867	0.365118061831604	-0.198796259389724	-0.435920754223098	-0.223315433747443	-0.142572598450489	-0.681427782904056	-0.710817805676259	0.00203050283065132	-0.537703797826079	-0.0165968144294109	0.741797506495505	0.779219664987471	0.782108977930571	0.704252485363146	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44
APOE	ENSG00000130203.10	ENSP00000413135.1;ENSP00000252486.3;ENSP00000413653.2;ENSP00000410423.1	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	238	253	38	36	38	36	0.0	0.0	279999437774.7211	275558866314.0202	-0.223379324110011	0.187374218464511	-0.272264815828075	-0.420828563321754	-0.304466068459719	0.11803154175666	-0.00340359745692176	0.265162087200189	0.121201670446451	-0.183479962481193	0.00261655767247504	-0.419491393395914	-0.144477258933615	-0.138067696378278	0.180143262167341	0.000185617851975017	-0.00132395623476533	-0.228516137254164	-0.0917988040828348	-0.533345310575811	-0.0692148975407463	-0.471963271133994	1.59256750673468	-0.261363008430383	-0.278386412831917	-0.358240681589574	-0.245110565732382	0.00132395623476533	0.114697853097262	-0.082073400598567	0.109389090100322	-0.0724051053674479	238	238	238	238	238	238	238	238	238	238	238	238	238	238	238	238	238	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251
STAB1	ENSG00000010327.10	ENSP00000312946.6;ENSP00000418426.1	stabilin 1 [Source:HGNC Symbol;Acc:HGNC:18628]	7	9	7	9	7	9	0.0	0.0	6521739794.354817	1679157762.259196	-0.0299772498485957	0.104533693027507	-0.0777372700852332	0.0636292835381802	0.0204603765693649	0.104152015057669	-0.0198269542434168	0.221828421673335	-0.17253955602995	0.440365496833758	0.0718735731798308	0.0290743677948271	0.070361191992208	0.0954946323187897	0.184771599269583	-0.0411076943248103	0.00534629601120429	0.239720252524027	0.310252986521402	-0.0283462934502872	0.0439044608141579	0.0300224794107109	0.115676603760996	0.038216623694062	-0.0876895750964284	0.0430695153223581	0.296804658249549	-0.00534629601120606	0.362526300793734	0.29159434003053	0.239923141575364	0.251832607546197	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
PSMB7	ENSG00000136930.13	ENSP00000259457.3;ENSP00000393157.1	proteasome 20S subunit beta 7 [Source:HGNC Symbol;Acc:HGNC:9544]	3	2	2	2	2	2	0.0	0.0	732686471.2318211	2913288106.777954	-0.254038087239911	-0.329546770433012	0.0439378725483621	0.224603866204525	-0.485349952100559	0.413858938440705	0.0317685694648624	0.150315440642967	-0.356160871059632	0.643650953729622	-0.0147169351719931	-0.195224502361224	0.0757221978985045	-0.177841939915819	0.229226266252743	-0.018174347890624	0.00579838783157527	-0.559401183626278	-0.0243132928154512	-0.453737653428275	-0.233173280838374	0.701321323618572	0.488156739403268	-0.379173654982635	-0.242747440755181	-0.366356854967483	0.319668750030075	-0.00579838783157705	-0.542649884486025	0.081855863391441	-0.528488712261774	-0.094562148409354	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
TTLL2	ENSG00000120440.15	ENSP00000497040.1;ENSP00000239587.5;ENSP00000424130.1;ENSP00000423198.1	tubulin tyrosine ligase like 2 [Source:HGNC Symbol;Acc:HGNC:21211]	NA	1	NA	1	NA	1	NA	0.0005763688760806917	NA	6646492.426269531	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.152735285564603	0.411667749537209	0.368576854850241	0.395951633940935	0.661117664644037	0.483118744577139	0.253118221421609	0.36266367305018	0.727845996012732	0.668546170941504	-0.215531608305437	0.152735285564601	-0.320993142007637	0.323306791547569	0.444620732634007	0.245888298509822	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CXCL12	ENSG00000107562.17	ENSP00000363551.2;ENSP00000379139.3;ENSP00000379141.5;ENSP00000363548.2;ENSP00000339913.6;ENSP00000379140.2	C-X-C motif chemokine ligand 12 [Source:HGNC Symbol;Acc:HGNC:10672]	NA	1	NA	1	NA	1	NA	0.0	NA	32826186.171875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0786630349518482	-0.18412556560188	-0.0190004532744901	-0.282680784784123	-0.31247027016866	-0.460596528910422	-0.0975855324599415	-0.437603696399517	-0.279442806921324	-0.0959096761264284	0.243669822811716	0.0786630349518465	0.0665706926553984	0.989592479886653	-0.0624743482275107	0.742806900792903	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
APOD	ENSG00000189058.9	ENSP00000345179.3;ENSP00000391597.1;ENSP00000415235.1;ENSP00000393076.1	apolipoprotein D [Source:HGNC Symbol;Acc:HGNC:612]	65	58	10	11	10	11	0.0	0.0	35269692071.523315	95468987518.72192	0.140192886987899	0.102497062046183	-0.0468512817584994	-0.256719814846839	-0.0835088014450447	0.183325728083376	-0.00218646955105939	0.555624680095345	0.370458698392781	0.195571309459361	-0.0141169615721708	-0.106610340169293	-0.136311159045092	-0.367424705711251	-0.286456312801976	0.00581646447350526	0.00317582323543419	0.126726693913817	-0.0685700941799112	-0.447005773944115	0.186899973497166	-0.235556963689385	0.273575420951534	0.101777414807088	-0.333547829649802	-0.123789593346407	0.112772887885187	-0.00317582323543419	0.270659847290566	0.209136072151194	0.11751874706848	0.150251691263618	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	65	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58
EFHD2	ENSG00000142634.13	ENSP00000365147.4;ENSP00000395153.1	EF-hand domain family member D2 [Source:HGNC Symbol;Acc:HGNC:28670]	NA	1	NA	1	NA	1	NA	0.0	NA	89235304.42578125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0228183150548809	-0.0540641364784449	0.1876066344504	-0.0158468311052253	-0.129357395640703	-0.0139860079434371	-0.0996091956763685	-0.0320027476015987	0.0238674125357043	0.0268169845389821	0.103842147353436	0.0228183150548755	-0.00344077321740244	0.0102004107756635	0.0462309498168594	0.147326211533898	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IDH2	ENSG00000182054.10	ENSP00000331897.4;ENSP00000453254.1;ENSP00000453016.1;ENSP00000446147.2	isocitrate dehydrogenase (NADP(+)) 2 [Source:HGNC Symbol;Acc:HGNC:5383]	2	NA	2	NA	2	NA	0.0	NA	550516181.7836914	NA	0.0314396043821707	0.257463135279375	-0.0792488554368038	-0.00274418905468643	0.0326521784620812	0.252137718341093	-0.122043912890795	-0.176081423216488	-0.0174273892925196	0.356863915999305	-0.0220969577375492	0.231003454043669	-0.0686129574740075	0.195084540871705	0.305162674890971	0.143018157030588	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C1QTNF1	ENSG00000173918.15	ENSP00000463337.1;ENSP00000343230.4;ENSP00000462990.1;ENSP00000463922.1;ENSP00000340864.2;ENSP00000311265.4;ENSP00000376240.2;ENSP00000462481.2;ENSP00000463008.1;ENSP00000463108.1	C1q and TNF related 1 [Source:HGNC Symbol;Acc:HGNC:14324]	2	1	1	1	1	1	0.0	0.0005630630630630631	207070521.79675293	795041038.9511719	-0.572097983027959	-0.400649535555383	-0.18244336913654	0.339837723220187	0.577699727129999	-0.558522338615479	0.114967062772939	0.298876935409879	0.0328708750503832	-1.05791971015768	-0.0498086178418529	0.0324564011393482	-0.260119478024404	1.69320305577006	-0.508117650583296	-0.0662811585288443	-0.0225443697693706	-0.109885063610939	-0.450716719617692	0.126838618090652	0.0	-0.347543949372493	-0.107265972405997	0.0897106496383806	-0.135524695164584	-0.0890708059640062	0.301571872404057	0.0225443697693652	-0.131738056998238	0.00785765533143135	0.207276964037515	0.406364444308615	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RB1CC1	ENSG00000023287.13	ENSP00000025008.5;ENSP00000396067.2;ENSP00000430809.1;ENSP00000430792.1;ENSP00000429879.1;ENSP00000429918.1;ENSP00000429115.1;ENSP00000429611.1	RB1 inducible coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:15574]	1	NA	1	NA	1	NA	0.0	NA	38354497.171875	NA	0.0909181205711409	0.269446228427118	0.0626980210372103	0.066799274462916	0.0106622681671924	0.255086234088762	-0.112036681662619	-0.103055654995234	0.312724122672918	-0.0874069618142066	0.0399573577028853	0.264538621299295	0.315958958016176	0.115781216821368	0.419016299292702	0.070956610361983	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CTSA	ENSG00000064601.21	ENSP00000476235.1;ENSP00000361562.3;ENSP00000504790.1;ENSP00000502993.1;ENSP00000504209.1;ENSP00000475827.1;ENSP00000346952.4;ENSP00000493613.2;ENSP00000191018.5;ENSP00000503404.1;ENSP00000504197.1;ENSP00000503463.1;ENSP00000408533.3;ENSP00000504524.1;ENSP00000504158.1;ENSP00000475524.2;ENSP00000361537.2;ENSP00000502866.1;ENSP00000503904.1;ENSP00000504109.1;ENSP00000504006.1	cathepsin A [Source:HGNC Symbol;Acc:HGNC:9251]	4	6	4	5	4	5	0.0	0.0	856398924.0625	1664365046.2770183	0.36125098064454	-0.101096918811823	0.0722788052583656	0.62984381592948	-0.0270991154920912	0.143356004185228	-0.00401314694005883	-0.166105377709075	-0.114847817145812	-0.183774500550075	-0.0243957701476667	0.184235931877462	-0.17394892057423	-0.0703458415349747	-0.0904723680960302	0.0137103903022568	0.0119587537389663	-0.0102950662809125	-0.274014210303068	0.0857437572880642	-0.15149822827467	0.0625706075447958	-0.437557354841466	0.165264271628974	0.267641040476144	0.428935820709992	-0.523445632199719	-0.011958753738968	-0.19524603076678	0.392636882062664	0.0130751838829219	-0.116624121307474	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
UBE2K	ENSG00000078140.14	ENSP00000261427.5;ENSP00000425301.1;ENSP00000421203.1;ENSP00000390483.2;ENSP00000421422.1	ubiquitin conjugating enzyme E2 K [Source:HGNC Symbol;Acc:HGNC:4914]	2	1	1	1	1	1	0.0	0.0	404370891.296875	224287400.82421875	0.244251886592251	-0.160782391740213	-0.0299437470227044	0.475328965317733	0.0719885824556892	0.37123784475692	0.00393421511432557	-0.322558567276706	-0.231132792945695	-0.238701651989059	0.0248443564893801	0.198587166834669	0.448714700932705	-0.0483008349835554	0.164214064487597	-0.029901285201464	-0.0852817753435424	-0.270236344710828	-0.0723081935088832	-0.273547884368082	-0.358098408393001	-0.0816062593301901	-0.0618702464758023	-0.49502721678676	-0.0837770708498482	-0.362099608392814	-0.313538744490634	0.0852817753435371	-0.476946498864473	0.73919600632367	-0.222928978408486	1.2112072124641	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FEN1	ENSG00000168496.4	ENSP00000305480.2;ENSP00000445692.1;ENSP00000460402.1	flap structure-specific endonuclease 1 [Source:HGNC Symbol;Acc:HGNC:3650]	1	1	1	1	1	1	0.0	0.0	826973511.9726562	1847582892.5303802	-0.0745823649233497	0.200131932917099	-0.783104148608139	-0.681573512831712	0.204653406478749	-0.671371539247573	0.00251353163697132	1.13646814110207	-0.24872084886033	1.13857238930861	-0.104423115646007	-0.309860383162547	0.05301317219108	0.357571495380149	-0.303965736782365	0.100786870411281	0.0756519514442537	-0.352695438722776	-0.649961680006751	-0.638671236992664	0.186930077225828	-0.340451046494682	-1.38913364774894	0.282696424557294	0.0336597069475886	-0.115032768689396	0.172456184970702	-0.0756519514442555	-0.537465133890269	1.57740816743974	-0.431915575018614	0.73299972762236	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ITIH3	ENSG00000162267.13	ENSP00000413922.2;ENSP00000415769.2;ENSP00000479928.1	inter-alpha-trypsin inhibitor heavy chain 3 [Source:HGNC Symbol;Acc:HGNC:6168]	636	835	66	62	66	62	0.0	0.0	644350239867.2847	706236380431.8322	0.18599477241577	-0.454721967226089	0.497990632064489	0.0915980380864987	0.0091762730986984	0.177082445894468	0.00106669963909312	-0.227326316043019	-0.246437940159964	-0.372856583714137	-0.0115765193913298	0.373063639368912	0.354254291429545	0.313690657275259	0.274696827163453	0.0039124449085266	-0.00987217079234881	0.185679542852878	-0.160901196720378	0.140298049124283	0.239867653970361	0.0879057226920281	0.57890133371815	-0.0192302776355042	-0.0810829957857546	0.468037974170752	0.202199556768724	0.00987217079234703	-0.484872704141324	-0.356748453601448	-0.436305913567889	-0.115729584625438	635	635	635	635	635	635	635	635	635	635	635	635	635	635	635	635	635	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827
DOCK5	ENSG00000147459.18	ENSP00000387036.1;ENSP00000429737.1;ENSP00000276440.7;ENSP00000414125.1;ENSP00000428479.1	dedicator of cytokinesis 5 [Source:HGNC Symbol;Acc:HGNC:23476]	NA	6	NA	1	NA	1	NA	0.0	NA	35299244762.096436	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0767834859129515	-1.04784381061326	-0.590551555055768	-1.21418339958152	-1.03495827662556	-0.812520765089822	-0.519523549218061	-0.877078540564227	-0.807946476561849	-0.812996326300471	-0.836857430823263	-0.0767834859129568	-0.52716928649253	1.89901848127761	-0.686955321364159	1.85384181242321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
TTLL6	ENSG00000170703.16	ENSP00000399211.2;ENSP00000415138.1;ENSP00000377043.3;ENSP00000365871.4;ENSP00000400624.1;ENSP00000414290.1	tubulin tyrosine ligase like 6 [Source:HGNC Symbol;Acc:HGNC:26664]	1	1	1	1	1	1	0.0	0.0	193196419.05273438	308700586.6328125	0.422640885011552	0.19459861105388	-0.0691602600046792	-0.224773801807295	0.14157856262693	-0.0227856369104797	-0.0604499290888469	-0.226203003596122	0.189345668098596	-0.334686749903049	0.0819144262731832	0.0461167561237232	0.00443264163757906	0.0989735012107786	0.273223235163732	-0.0225872107820946	-0.0162730474849937	-0.0067477263134208	0.153456841780695	0.266774181855727	0.119253488555199	-0.406148416688936	0.216345688779093	0.0838548292640162	0.278105753858821	-0.215173656171423	0.158649145667194	0.0162730474849955	-0.178143120546519	-0.0536672720341294	-0.142595901390671	-0.32208052530282	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
COG4	ENSG00000103051.20	ENSP00000456653.2;ENSP00000315775.5;ENSP00000377236.5;ENSP00000501405.1;ENSP00000432802.1;ENSP00000455693.1;ENSP00000454573.2;ENSP00000461912.1;ENSP00000434160.2;ENSP00000463732.1	component of oligomeric golgi complex 4 [Source:HGNC Symbol;Acc:HGNC:18620]	5	2	1	1	1	1	0.0	0.0	4972436865.4609375	629280822.6074219	-0.852345804811792	-0.65278052597634	-0.539893002360468	-0.675743750884244	-0.61336938455733	-0.588252496119028	-0.0790315752669635	1.84926111704618	-0.358327851241349	1.1939402038189	0.0204543382555293	-0.394146805557483	0.250140858018924	-0.727098539142926	-0.351643531618249	0.057454523413683	0.178114114984685	-1.16493455800392	-0.415805258212911	-1.32747691607295	-1.16253055590858	-1.68863301043916	-0.885073657342157	-1.18481699757766	-1.18863392660077	-1.07327662901542	-0.542976078082908	-0.178114114984687	-0.635756787062433	2.02593294784087	-1.03523183984019	1.59874064268164	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
PLA2G7	ENSG00000146070.17	ENSP00000274793.7;ENSP00000445666.1	phospholipase A2 group VII [Source:HGNC Symbol;Acc:HGNC:9040]	15	21	12	15	12	15	0.0	0.0	3312695321.408854	5572703766.7161455	0.00831883164266323	0.0854117745868841	0.106064306296229	-0.0507475288031678	-0.115277101484167	0.0820391498595585	0.0262367919425159	0.229507092255337	0.378965467836803	0.247270387124155	0.00187202016686072	-0.0353275152902448	-0.0466979785270203	0.652510288411642	-0.0579622250907352	-0.0088077681329457	0.0409293159351591	0.0136704400630485	-0.353035445965126	-0.247261464117503	0.0945536571876708	-0.0673862734686814	-0.12457893070194	0.369213996446057	-0.314480086354457	0.0497302524670182	-0.562299367474544	-0.0409293159351645	0.0222866938886561	0.569021913023906	0.396939209330377	0.0822189099972945	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21
MMRN1	ENSG00000138722.10	ENSP00000378431.1;ENSP00000264790.2;ENSP00000426461.1	multimerin 1 [Source:HGNC Symbol;Acc:HGNC:7178]	38	50	28	31	28	31	0.0	0.0	5787646988.039144	28840656656.33016	0.627507473208896	-0.236623790392831	-0.172304975221278	0.392650269468399	-0.147855923588931	0.0179208420100077	0.00810070907514859	0.312268694505137	-0.124651715800213	-0.124945861593273	-0.00348163312802008	0.0574472951476306	0.0	0.0281459085099414	-0.242169337414003	0.00328007599617219	-0.0109290406707956	-0.00173873137953517	0.0573140406114909	0.215069625648346	0.15728634898524	0.404533341311568	-0.0266942395281031	-0.161368971077483	-0.0408038877707444	0.219426927321956	-0.28562635360447	0.0109290406707956	-0.246884262893723	0.41985678363031	-0.039286697658266	-0.0676780452474262	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50
FLT4	ENSG00000037280.16	ENSP00000261937.6;ENSP00000377016.3;ENSP00000426057.1;ENSP00000421535.1;ENSP00000481134.1	fms related receptor tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767]	15	17	12	13	12	13	0.0	0.0	3766599568.0819373	3653808714.263733	0.0365864487221135	0.28270839277997	0.18001956478979	-0.123661314712269	-0.0651242915927019	-0.282470425723445	0.0187151560026333	0.030698350365304	-0.0163827592063832	0.0295124239503988	-0.00276520188602447	0.22886491810161	0.173084089298915	0.227449309410622	0.0441391951830106	-0.0241741807053648	-0.0209297269513797	0.141266625557709	-0.170971250154555	-0.0774718127129965	-0.0642440951933381	0.117985060776132	0.221021402478087	-0.229102827929388	-0.26123287810341	0.109661385593284	-0.151434225295887	0.0209297269513744	0.0291220140928488	0.0747530689577829	-0.202283151255745	0.176173770960045	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17
FASN	ENSG00000169710.9	ENSP00000304592.2;ENSP00000488964.1;ENSP00000462949.1;ENSP00000490921.1;ENSP00000489514.1;ENSP00000489808.1;ENSP00000490553.1	fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594]	1	3	1	3	1	3	0.0	0.0	620038999.2756348	108103245.0144043	-0.449292124397049	-0.32503990102585	-0.627389018480866	-0.63096130416556	-0.283991862196696	-0.502728041864244	-0.00502447897943981	0.160846061558942	0.136455732889647	1.31053870758783	9.18747206384296e-05	-0.347030068569929	-0.244680472369438	-0.0730707008523872	-0.00225334492985318	0.00380989066104309	-0.0544012325631975	0.107508264034013	0.0531839177637288	0.308361765246431	-0.0189978439423726	0.457351744954014	0.258059731865478	0.103088001963496	0.197795162477512	0.36805483571897	0.0940756428648619	0.0544012325631993	0.159007831446282	0.19586397952941	0.145586792398806	-0.0669475590365156	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
