"","Gene_name","Method","Sensitivity","lower.Sensitivity","upper.Sensitivity","Specificity","lower.Specificity","upper.Specificity","Mean.DOR","Median.DOR","lower.Mean.DOR","upper.Mean.DOR","Mean.Pos.LR","Median.Pos.LR","lower.Pos.LR","upper.Pos.LR","Mean.Neg.LR","Median.Neg.LR","lower.Neg.LR","upper.Neg.LR","AUC","Method.1","DOR","lower.DOR","upper.DOR","lnDOR","lower.lnDOR","upper.lnDOR","tau.2","lower.tau.2","upper.tau.2","tau","lower.tau","upper.tau","I.2","Q","p.value","df","k.study"
"COL18A1","COL18A1","Bivariate model, Reitsma 2005",0.763,0.222,0.973,0.661,0.112,0.968,7.28,6.26,2.13,18.4,2.88,2.17,1.08,8.76,0.422,0.394,0.142,0.827,0.775,"Univariate model, Glas 2003",6.386,2.24,18.205,1.854,0.806,2.902,0,0,1.643,0,0,1.282,0,0.57,0.903,3,4
"CAMP","CAMP","Bivariate model, Reitsma 2005",0.694,0.476,0.85,0.703,0.485,0.857,5.6,5.39,3.15,9.24,2.4,2.31,1.57,3.75,0.445,0.44,0.274,0.641,0.754,"Univariate model, Glas 2003",5.858,3.403,10.084,1.768,1.225,2.311,0,0,1.835,0,0,1.355,0,2.352,0.885,6,7
"CRISP3","CRISP3","Bivariate model, Reitsma 2005",0.773,0.655,0.859,0.774,0.717,0.822,12.2,11.6,6.36,21.3,3.42,3.4,2.66,4.35,0.299,0.294,0.184,0.444,0.804,"Univariate model, Glas 2003",10.247,4.813,21.816,2.327,1.571,3.083,0.415,0,16.712,0.644,0,4.088,25.356,8.038,0.235,6,7
"ICAM2","ICAM2","Bivariate model, Reitsma 2005",0.701,0.581,0.799,0.627,0.493,0.745,4.09,3.95,2.37,6.61,1.91,1.87,1.44,2.57,0.483,0.479,0.345,0.641,0.712,"Univariate model, Glas 2003",3.863,2.277,6.555,1.351,0.823,1.88,0,0,1.175,0,0,1.084,0,1.922,0.75,4,5
"CFD","CFD","Bivariate model, Reitsma 2005",0.646,0.502,0.767,0.726,0.551,0.852,4.99,4.84,2.96,7.91,2.43,2.35,1.62,3.7,0.494,0.493,0.374,0.622,0.733,"Univariate model, Glas 2003",5.14,2.966,8.909,1.637,1.087,2.187,0.31,0,3.201,0.557,0,1.789,12.364,10.27,0.329,9,10
"PDLIM1","PDLIM1","Bivariate model, Reitsma 2005",0.648,0.581,0.71,0.527,0.433,0.618,2.11,2.05,1.29,3.25,1.38,1.37,1.11,1.72,0.675,0.669,0.522,0.862,0.596,"Univariate model, Glas 2003",2.357,1.355,4.1,0.857,0.304,1.411,0.075,0,5.224,0.274,0,2.286,3.645,5.189,0.393,5,6
"MASP2","MASP2","Bivariate model, Reitsma 2005",0.705,0.504,0.849,0.673,0.526,0.792,5.07,4.93,3.08,7.89,2.15,2.13,1.7,2.76,0.445,0.44,0.27,0.647,0.736,"Univariate model, Glas 2003",4.714,2.915,7.623,1.55,1.07,2.031,0.128,0,5.241,0.357,0,2.289,8.543,8.747,0.364,8,9
"RAB27B","RAB27B","Bivariate model, Reitsma 2005",0.719,0.445,0.891,0.809,0.318,0.975,44.4,10.8,0.401,290,7.16,3.75,0.676,34.6,0.483,0.35,0.113,1.68,0.808,"Univariate model, Glas 2003",9.901,0.389,252.309,2.293,-0.945,5.531,4.353,0,6018.9,2.086,0,77.582,0,1,0.317,1,2
"CLIC1","CLIC1","Bivariate model, Reitsma 2005",0.714,0.646,0.774,0.433,0.326,0.547,1.99,1.91,1.1,3.32,1.27,1.26,1.03,1.6,0.672,0.66,0.474,0.937,0.462,"Univariate model, Glas 2003",2.618,1.196,5.731,0.962,0.179,1.746,0.236,0,11.802,0.486,0,3.435,5.849,4.248,0.373,4,5
"QSOX1","QSOX1","Bivariate model, Reitsma 2005",0.619,0.417,0.787,0.635,0.464,0.778,2.9,2.83,1.81,4.42,1.7,1.68,1.34,2.2,0.605,0.604,0.418,0.793,0.664,"Univariate model, Glas 2003",3.248,1.89,5.583,1.178,0.636,1.72,0.146,0,7.464,0.382,0,2.732,12.705,8.019,0.331,7,8
"APOL1","APOL1","Bivariate model, Reitsma 2005",0.642,0.506,0.758,0.748,0.614,0.847,5.91,5.31,2.16,13.1,2.65,2.53,1.52,4.42,0.49,0.482,0.311,0.715,0.751,"Univariate model, Glas 2003",5.993,2.622,13.697,1.791,0.964,2.617,1.282,0,6.283,1.132,0,2.507,24.763,11.962,0.215,9,10
"HLA-C","HLA-C","Bivariate model, Reitsma 2005",0.511,0.432,0.589,0.717,0.614,0.802,2.76,2.65,1.51,4.66,1.84,1.8,1.27,2.65,0.688,0.683,0.554,0.845,0.663,"Univariate model, Glas 2003",3.601,1.604,8.083,1.281,0.472,2.09,0.124,0,9.21,0.352,0,3.035,0,2.745,0.433,3,4
"WDR1","WDR1","Bivariate model, Reitsma 2005",0.785,0.657,0.874,0.475,0.373,0.58,3.55,3.3,1.56,6.96,1.5,1.49,1.17,1.9,0.469,0.455,0.26,0.757,0.491,"Univariate model, Glas 2003",3.047,1.642,5.654,1.114,0.496,1.732,0.07,0,4.731,0.264,0,2.175,0,3.804,0.433,4,5
"ERN1","ERN1","Bivariate model, Reitsma 2005",0.575,0.356,0.767,0.778,0.535,0.914,4.92,4.73,2.73,8.2,2.7,2.56,1.57,4.66,0.555,0.554,0.39,0.725,0.723,"Univariate model, Glas 2003",4.567,2.726,7.651,1.519,1.003,2.035,0,0,0.288,0,0,0.537,0,0.459,0.928,3,4
"IDH1","IDH1","Bivariate model, Reitsma 2005",0.861,0.753,0.927,0.481,0.268,0.702,7.63,5.76,1.33,25.1,1.76,1.66,1.07,3.04,0.334,0.29,0.115,0.81,0.8,"Univariate model, Glas 2003",7.398,1.314,41.649,2.001,0.273,3.729,1.605,0,108.751,1.267,0,10.428,5.194,2.11,0.348,2,3
"VNN1","VNN1","Bivariate model, Reitsma 2005",0.583,0.521,0.642,0.67,0.584,0.745,2.9,2.83,1.81,4.41,1.78,1.76,1.37,2.33,0.627,0.624,0.516,0.757,0.678,"Univariate model, Glas 2003",2.894,1.807,4.634,1.063,0.592,1.533,0,0,2.349,0,0,1.533,0,3.287,0.511,4,5
"GSR","GSR","Bivariate model, Reitsma 2005",0.768,0.352,0.953,0.664,0.476,0.811,8.36,6.53,1.65,25.9,2.21,2.17,1.37,3.26,0.388,0.353,0.088,0.857,0.729,"Univariate model, Glas 2003",5.025,1.697,14.881,1.615,0.529,2.7,0.416,0,37.262,0.645,0,6.104,0,1.785,0.41,2,3
"SOD1","SOD1","Bivariate model, Reitsma 2005",0.565,0.464,0.662,0.619,0.484,0.738,2.2,2.12,1.24,3.61,1.51,1.48,1.11,2.08,0.71,0.704,0.553,0.899,0.615,"Univariate model, Glas 2003",2.355,1.364,4.065,0.857,0.311,1.402,0,0,2.572,0,0,1.604,0,1.929,0.587,3,4
"F13A1","F13A1","Bivariate model, Reitsma 2005",0.664,0.52,0.783,0.769,0.578,0.89,7.27,6.6,2.76,15.7,3.06,2.85,1.62,5.69,0.448,0.443,0.296,0.63,0.768,"Univariate model, Glas 2003",7.216,3.008,17.31,1.976,1.101,2.851,0.845,0,5.86,0.919,0,2.421,0,6.791,0.451,7,8
"PNP","PNP","Bivariate model, Reitsma 2005",0.845,0.515,0.965,0.49,0.216,0.77,6.06,5.23,1.81,15.2,1.71,1.61,1.17,2.81,0.355,0.327,0.113,0.743,0.701,"Univariate model, Glas 2003",6.373,1.991,20.402,1.852,0.689,3.016,0.288,0,59.619,0.537,0,7.721,6.92,2.149,0.342,2,3
"PGK1","PGK1","Bivariate model, Reitsma 2005",0.788,0.53,0.925,0.665,0.503,0.795,10.9,7.39,1.29,42.1,2.45,2.34,1.13,4.39,0.364,0.32,0.099,0.878,0.753,"Univariate model, Glas 2003",5.911,1.74,20.073,1.777,0.554,2.999,1.19,0,59.748,1.091,0,7.73,49.318,7.892,0.096,4,5
"HPR","HPR","Bivariate model, Reitsma 2005",0.731,0.583,0.841,0.667,0.546,0.769,5.8,5.45,2.75,10.8,2.22,2.18,1.6,3.08,0.412,0.405,0.247,0.615,0.746,"Univariate model, Glas 2003",5.786,2.788,12.009,1.755,1.025,2.486,0.932,0,2.889,0.966,0,1.7,0,8.409,0.494,9,10
"CA2","CA2","Bivariate model, Reitsma 2005",0.696,0.545,0.814,0.569,0.422,0.706,3.15,3.03,1.77,5.2,1.63,1.6,1.26,2.15,0.542,0.537,0.367,0.741,0.668,"Univariate model, Glas 2003",4.447,1.944,10.174,1.492,0.665,2.32,0.38,0,14.893,0.616,0,3.859,19.231,6.19,0.288,5,6
"ASS1","ASS1","Bivariate model, Reitsma 2005",0.513,0.321,0.701,0.778,0.23,0.976,5.71,3.69,0.593,23,3.66,2.3,0.861,14.8,0.729,0.659,0.511,1.44,0.597,"Univariate model, Glas 2003",2.315,0.735,7.288,0.839,-0.308,1.986,0.211,0,2291.367,0.459,0,47.868,0,1,0.317,1,2
"CST3","CST3","Bivariate model, Reitsma 2005",0.558,0.39,0.714,0.833,0.69,0.918,6.68,6.29,3.19,12.4,3.46,3.3,1.98,5.89,0.536,0.535,0.373,0.703,0.765,"Univariate model, Glas 2003",6.922,3.412,14.041,1.935,1.227,2.642,0.702,0,1.778,0.838,0,1.334,0,7.062,0.631,9,10
"IGKV1-17","IGKV1-17","Bivariate model, Reitsma 2005",0.489,0.363,0.616,0.797,0.648,0.894,3.97,3.75,1.93,7.3,2.5,2.39,1.48,4.17,0.648,0.647,0.508,0.794,0.668,"Univariate model, Glas 2003",3.959,1.976,7.933,1.376,0.681,2.071,0.52,0,9.869,0.721,0,3.142,24.286,9.245,0.236,7,8
"IGKV1D-16","IGKV1D-16","Bivariate model, Reitsma 2005",0.507,0.345,0.668,0.744,0.638,0.828,3.09,3,1.87,4.81,1.99,1.97,1.5,2.59,0.662,0.664,0.488,0.827,0.701,"Univariate model, Glas 2003",3.028,1.957,4.684,1.108,0.672,1.544,0,0,1.705,0,0,1.306,0,4.263,0.641,6,7
"IGKV1-5","IGKV1-5","Bivariate model, Reitsma 2005",0.642,0.582,0.698,0.543,0.492,0.592,2.16,2.13,1.54,2.94,1.41,1.4,1.22,1.62,0.662,0.66,0.545,0.792,0.626,"Univariate model, Glas 2003",1.978,1.323,2.957,0.682,0.28,1.084,0,0,0.332,0,0,0.576,0,1.497,0.913,5,7
"IGLV1-44","IGLV1-44","Bivariate model, Reitsma 2005",0.715,0.604,0.805,0.595,0.206,0.893,5,3.7,0.805,17,2.21,1.76,0.951,6.14,0.552,0.487,0.318,1.18,0.718,"Univariate model, Glas 2003",4.338,1.085,17.34,1.468,0.082,2.853,0.563,0,1115.435,0.75,0,33.398,0,1,0.317,1,2
"IGLV1-51","IGLV1-51","Bivariate model, Reitsma 2005",0.64,0.521,0.743,0.731,0.612,0.825,4.93,4.83,3.27,7.15,2.41,2.37,1.8,3.25,0.496,0.495,0.386,0.612,0.738,"Univariate model, Glas 2003",5.076,3.365,7.657,1.625,1.214,2.036,0.014,0,1.614,0.118,0,1.271,0.717,7.051,0.424,7,9
"IGLV1-40","IGLV1-40","Bivariate model, Reitsma 2005",0.665,0.617,0.71,0.688,0.529,0.812,4.65,4.39,2.25,8.55,2.22,2.13,1.42,3.51,0.495,0.488,0.397,0.636,0.671,"Univariate model, Glas 2003",4.843,2.373,9.887,1.578,0.864,2.291,0.683,0,4.372,0.826,0,2.091,5.226,8.441,0.392,8,9
"IGLV2-11","IGLV2-11","Bivariate model, Reitsma 2005",0.536,0.42,0.649,0.685,0.588,0.767,2.57,2.51,1.62,3.88,1.71,1.69,1.32,2.2,0.68,0.679,0.538,0.826,0.659,"Univariate model, Glas 2003",2.552,1.631,3.991,0.937,0.489,1.384,0,0,0.189,0,0,0.435,0,1.372,0.927,5,6
"IGLV3-1","IGLV3-1","Bivariate model, Reitsma 2005",0.677,0.607,0.739,0.706,0.537,0.832,5.37,5.03,2.48,10.2,2.41,2.3,1.48,3.96,0.467,0.461,0.362,0.609,0.703,"Univariate model, Glas 2003",6.204,3.15,12.219,1.825,1.148,2.503,0.119,0,4.948,0.344,0,2.224,1.763,4.072,0.396,4,5
"IGLV3-25","IGLV3-25","Bivariate model, Reitsma 2005",0.756,0.643,0.842,0.611,0.561,0.658,5.08,4.86,2.71,8.72,1.94,1.94,1.59,2.31,0.406,0.4,0.257,0.592,0.611,"Univariate model, Glas 2003",6.257,2.599,15.062,1.834,0.955,2.712,0.957,0,12.986,0.978,0,3.604,37.875,9.658,0.14,6,7
"IGLV3-27","IGLV3-27","Bivariate model, Reitsma 2005",0.757,0.628,0.851,0.408,0.313,0.51,2.35,2.14,0.926,4.96,1.29,1.28,0.974,1.65,0.621,0.597,0.327,1.05,0.491,"Univariate model, Glas 2003",3.087,1.049,9.082,1.127,0.048,2.206,0.775,0,34.971,0.88,0,5.914,20.64,3.78,0.286,3,4
"IGLV6-57","IGLV6-57","Bivariate model, Reitsma 2005",0.651,0.476,0.792,0.766,0.678,0.836,6.58,6.1,2.85,13.1,2.8,2.75,1.87,4.02,0.463,0.458,0.275,0.682,0.783,"Univariate model, Glas 2003",8.504,3.109,23.261,2.141,1.134,3.147,0.438,0,18.774,0.662,0,4.333,12.998,4.598,0.331,4,5
"IGHV1-69","IGHV1-69","Bivariate model, Reitsma 2005",0.784,0.595,0.9,0.489,0.235,0.748,3.85,3.47,1.41,8.53,1.62,1.52,1.09,2.72,0.472,0.454,0.252,0.792,0.721,"Univariate model, Glas 2003",4.492,1.788,11.283,1.502,0.581,2.423,0.726,0,12.588,0.852,0,3.548,26.134,6.769,0.238,5,6
"IGHV1-46","IGHV1-46","Bivariate model, Reitsma 2005",0.683,0.579,0.771,0.685,0.502,0.824,4.84,4.67,2.76,7.89,2.24,2.16,1.49,3.47,0.471,0.469,0.379,0.573,0.728,"Univariate model, Glas 2003",5.014,2.866,8.772,1.612,1.053,2.172,0.249,0,3.863,0.499,0,1.965,11.84,7.94,0.338,7,8
"IGHV3-11","IGHV3-11","Bivariate model, Reitsma 2005",0.748,0.608,0.851,0.56,0.365,0.739,3.97,3.79,2.09,6.86,1.75,1.69,1.26,2.56,0.461,0.456,0.313,0.641,0.717,"Univariate model, Glas 2003",4.02,2.219,7.281,1.391,0.797,1.985,0,0,9.979,0,0,3.159,0,1.334,0.513,2,3
"IGHV3-23","IGHV3-23","Bivariate model, Reitsma 2005",0.489,0.415,0.562,0.775,0.678,0.85,3.37,3.29,2.15,5.03,2.21,2.17,1.59,3.07,0.663,0.662,0.579,0.752,0.627,"Univariate model, Glas 2003",3.361,2.163,5.221,1.212,0.772,1.653,0.065,0,2.589,0.256,0,1.609,3.104,7.224,0.406,7,8
"IGHV3-53","IGHV3-53","Bivariate model, Reitsma 2005",0.743,0.466,0.906,0.512,0.322,0.699,3.19,3.03,1.62,5.66,1.51,1.49,1.24,1.87,0.515,0.506,0.266,0.811,0.64,"Univariate model, Glas 2003",2.847,1.752,4.627,1.046,0.561,1.532,0,0,6.288,0,0,2.508,0,2.866,0.413,3,4
"IGHV3-33","IGHV3-33","Bivariate model, Reitsma 2005",0.605,0.303,0.843,0.816,0.427,0.963,7.33,6.76,3.07,14.9,3.76,3.23,1.43,9.13,0.504,0.497,0.312,0.732,0.757,"Univariate model, Glas 2003",6.856,3.647,12.887,1.925,1.294,2.556,0,0,5.681,0,0,2.383,0,1.39,0.708,3,5
"IGHV3-7","IGHV3-7","Bivariate model, Reitsma 2005",0.507,0.33,0.682,0.788,0.561,0.916,4.1,3.83,1.87,7.87,2.54,2.37,1.38,4.67,0.635,0.636,0.474,0.794,0.675,"Univariate model, Glas 2003",4.233,1.964,9.124,1.443,0.675,2.211,0.458,0,5.017,0.677,0,2.24,2.527,6.156,0.406,6,8
"IGHV2-70","IGHV2-70","Bivariate model, Reitsma 2005",0.711,0.286,0.938,0.604,0.263,0.867,4.18,3.76,1.53,9.29,1.82,1.71,1.18,3.04,0.504,0.491,0.189,0.882,0.696,"Univariate model, Glas 2003",3.803,1.728,8.372,1.336,0.547,2.125,0,0,14.782,0,0,3.845,0,0.815,0.665,2,3
"IGHV2-5","IGHV2-5","Bivariate model, Reitsma 2005",0.575,0.431,0.708,0.768,0.604,0.878,4.68,4.49,2.53,7.97,2.56,2.46,1.62,4.06,0.559,0.559,0.423,0.699,0.717,"Univariate model, Glas 2003",4.648,2.565,8.422,1.536,0.942,2.131,0.24,0,4.316,0.49,0,2.078,5.741,7.426,0.386,7,8
"PIGR","PIGR","Bivariate model, Reitsma 2005",0.478,0.327,0.632,0.843,0.665,0.936,5.28,4.92,2.37,10.2,3.24,3.02,1.66,6.09,0.626,0.627,0.484,0.764,0.689,"Univariate model, Glas 2003",4.911,2.413,9.996,1.592,0.881,2.302,0.469,0,1.834,0.685,0,1.354,0,6.196,0.625,8,9
"IGHG1","IGHG1","Bivariate model, Reitsma 2005",0.652,0.502,0.777,0.671,0.51,0.799,3.97,3.81,2.18,6.65,2.01,1.96,1.43,2.9,0.527,0.524,0.371,0.698,0.707,"Univariate model, Glas 2003",4.129,2.251,7.574,1.418,0.812,2.025,0.325,0,6.608,0.57,0,2.571,24.91,7.99,0.239,6,7
"IGHA2","IGHA2","Bivariate model, Reitsma 2005",0.543,0.344,0.729,0.775,0.552,0.906,4.22,4.1,2.55,6.57,2.5,2.4,1.55,4.03,0.596,0.596,0.449,0.742,0.7,"Univariate model, Glas 2003",4.134,2.705,6.318,1.419,0.995,1.843,0,0,0.9,0,0,0.949,0,4.083,0.77,7,8
"MB","MB","Bivariate model, Reitsma 2005",0.563,0.436,0.682,0.767,0.529,0.906,4.65,4.23,1.81,9.87,2.62,2.4,1.32,5.22,0.585,0.58,0.455,0.748,0.659,"Univariate model, Glas 2003",3.216,1.652,6.262,1.168,0.502,1.834,0,0,9.018,0,0,3.003,0,2.2,0.532,3,4
"SPTA1","SPTA1","Bivariate model, Reitsma 2005",0.587,0.454,0.709,0.652,0.416,0.831,2.87,2.67,1.27,5.61,1.78,1.68,1.1,3.04,0.651,0.641,0.489,0.876,0.634,"Univariate model, Glas 2003",2.296,1.253,4.207,0.831,0.226,1.437,0,0,27.911,0,0,5.283,0,1.631,0.442,2,3
"FGB","FGB","Bivariate model, Reitsma 2005",0.744,0.603,0.848,0.76,0.617,0.861,10.7,9.21,3.17,26.8,3.24,3.08,1.76,5.66,0.35,0.339,0.19,0.576,0.816,"Univariate model, Glas 2003",9.437,3.999,22.269,2.245,1.386,3.103,1.364,0,11.444,1.168,0,3.383,35.961,14.054,0.12,9,10
"SLC4A1","SLC4A1","Bivariate model, Reitsma 2005",0.692,0.402,0.883,0.605,0.283,0.856,3.62,3.45,1.87,6.38,1.84,1.73,1.18,3.16,0.528,0.524,0.325,0.753,0.695,"Univariate model, Glas 2003",3.511,1.909,6.457,1.256,0.647,1.865,0,0,1.788,0,0,1.337,0,1.095,0.895,4,5
"ALB","ALB","Bivariate model, Reitsma 2005",0.725,0.484,0.881,0.831,0.578,0.946,14.4,13,5.35,31.5,4.74,4.21,1.97,10.6,0.347,0.338,0.175,0.568,0.844,"Univariate model, Glas 2003",13.794,5.887,32.325,2.624,1.773,3.476,0.837,0,6.473,0.915,0,2.544,5.962,8.507,0.386,8,9
"TFRC","TFRC","Bivariate model, Reitsma 2005",0.635,0.58,0.687,0.656,0.543,0.753,3.4,3.31,2.1,5.24,1.87,1.84,1.41,2.53,0.562,0.558,0.468,0.677,0.657,"Univariate model, Glas 2003",3.741,2.239,6.252,1.319,0.806,1.833,0.276,0,3.343,0.526,0,1.828,14.522,10.529,0.309,9,10
"FTL","FTL","Bivariate model, Reitsma 2005",0.662,0.447,0.826,0.797,0.611,0.908,8.08,7.71,4.21,14.1,3.37,3.22,1.99,5.63,0.433,0.428,0.259,0.631,0.8,"Univariate model, Glas 2003",8.387,4.561,15.422,2.127,1.517,2.736,0,0,2.322,0,0,1.524,0,1.013,0.908,4,5
"ANG","ANG","Bivariate model, Reitsma 2005",0.521,0.318,0.716,0.777,0.486,0.928,4.13,3.78,1.66,8.62,2.54,2.3,1.26,5.19,0.633,0.633,0.459,0.81,0.67,"Univariate model, Glas 2003",4.128,1.818,9.371,1.418,0.598,2.238,0.411,0,3.233,0.641,0,1.798,0,3.749,0.586,5,6
"F11","F11","Bivariate model, Reitsma 2005",0.609,0.49,0.717,0.776,0.657,0.862,5.51,5.39,3.61,8.06,2.76,2.7,1.96,3.88,0.507,0.506,0.401,0.617,0.747,"Univariate model, Glas 2003",5.763,3.647,9.107,1.751,1.294,2.209,0.077,0,3.808,0.277,0,1.951,5.422,8.459,0.39,8,9
"CAT","CAT","Bivariate model, Reitsma 2005",0.65,0.493,0.78,0.662,0.521,0.779,3.83,3.64,1.95,6.78,1.95,1.91,1.39,2.75,0.536,0.532,0.357,0.739,0.701,"Univariate model, Glas 2003",3.836,2.013,7.308,1.344,0.7,1.989,0.402,0,7.808,0.634,0,2.794,16.227,8.356,0.302,7,8
"ALDOA","ALDOA","Bivariate model, Reitsma 2005",0.625,0.502,0.733,0.589,0.507,0.666,2.47,2.39,1.43,3.99,1.52,1.52,1.2,1.9,0.642,0.638,0.461,0.843,0.615,"Univariate model, Glas 2003",2.601,1.37,4.939,0.956,0.315,1.597,0.302,0,14.533,0.549,0,3.812,27.817,8.312,0.216,6,7
"SOD2","SOD2","Bivariate model, Reitsma 2005",0.567,0.153,0.905,0.758,0.481,0.914,5.19,4.11,1.08,15.7,2.3,2.17,1.06,4.26,0.58,0.581,0.168,0.986,0.749,"Univariate model, Glas 2003",3.709,1.28,10.746,1.311,0.247,2.374,0.213,0,31.301,0.462,0,5.595,0,1.924,0.382,2,3
"IGLV7-43","IGLV7-43","Bivariate model, Reitsma 2005",0.568,0.394,0.726,0.774,0.553,0.905,4.73,4.5,2.44,8.31,2.64,2.49,1.52,4.63,0.567,0.567,0.428,0.707,0.706,"Univariate model, Glas 2003",4.46,2.566,7.75,1.495,0.942,2.048,0,0,1.313,0,0,1.146,0,1.848,0.764,4,5
"IGKV1-16","IGKV1-16","Bivariate model, Reitsma 2005",0.644,0.469,0.788,0.694,0.391,0.889,4.56,4.11,1.69,10,2.32,2.09,1.2,4.77,0.535,0.528,0.373,0.739,0.705,"Univariate model, Glas 2003",3.721,1.761,7.863,1.314,0.566,2.062,0.454,0,13.386,0.674,0,3.659,31.699,8.785,0.186,6,8
"IGKV3D-11","IGKV3D-11","Bivariate model, Reitsma 2005",0.629,0.418,0.8,0.602,0.333,0.821,2.73,2.57,1.3,5.06,1.65,1.56,1.1,2.71,0.635,0.63,0.437,0.863,0.65,"Univariate model, Glas 2003",2.765,1.442,5.303,1.017,0.366,1.668,0,0,7.897,0,0,2.81,0,0.902,0.637,2,3
"HSPB1","HSPB1","Bivariate model, Reitsma 2005",0.778,0.706,0.836,0.438,0.315,0.568,2.88,2.73,1.43,5.19,1.4,1.38,1.11,1.82,0.522,0.509,0.34,0.779,0.759,"Univariate model, Glas 2003",4.097,2.012,8.34,1.41,0.699,2.121,0,0,8.216,0,0,2.866,0,3.137,0.535,4,5
"ALDOB","ALDOB","Bivariate model, Reitsma 2005",0.664,0.528,0.778,0.582,0.477,0.68,2.84,2.76,1.71,4.45,1.59,1.58,1.29,1.96,0.582,0.579,0.412,0.769,0.644,"Univariate model, Glas 2003",3.157,1.812,5.501,1.15,0.594,1.705,0.16,0,3.92,0.4,0,1.98,5.929,7.441,0.384,7,8
"ITGB3","ITGB3","Bivariate model, Reitsma 2005",0.68,0.61,0.743,0.532,0.419,0.641,2.51,2.42,1.4,4.17,1.47,1.45,1.14,1.92,0.611,0.603,0.451,0.818,0.661,"Univariate model, Glas 2003",2.712,1.336,5.504,0.998,0.29,1.705,0.124,0,21.318,0.352,0,4.617,8.661,3.284,0.35,3,4
"S100A8","S100A8","Bivariate model, Reitsma 2005",0.761,0.632,0.854,0.614,0.398,0.793,5.33,5.05,2.69,9.49,2.05,1.96,1.36,3.3,0.401,0.397,0.279,0.548,0.759,"Univariate model, Glas 2003",6.184,2.809,13.617,1.822,1.033,2.611,0.531,0,12.96,0.729,0,3.6,25.759,8.082,0.232,6,7
"SERPINE1","SERPINE1","Bivariate model, Reitsma 2005",0.54,0.409,0.665,0.66,0.523,0.774,2.39,2.28,1.22,4.22,1.62,1.58,1.12,2.32,0.705,0.7,0.52,0.915,0.64,"Univariate model, Glas 2003",2.557,1.358,4.814,0.939,0.306,1.572,0,0,0.086,0,0,0.293,0,0.249,0.969,3,4
"SERPINA5","SERPINA5","Bivariate model, Reitsma 2005",0.603,0.543,0.661,0.63,0.381,0.825,2.95,2.59,0.959,7.02,1.77,1.63,0.984,3.4,0.661,0.631,0.473,1.03,0.605,"Univariate model, Glas 2003",3.921,1.784,8.618,1.366,0.579,2.154,0.585,0,5.593,0.765,0,2.365,0,6.914,0.438,7,8
"ICAM1","ICAM1","Bivariate model, Reitsma 2005",0.623,0.332,0.846,0.734,0.479,0.892,4.75,4.54,2.55,8.11,2.37,2.28,1.53,3.73,0.524,0.52,0.292,0.773,0.736,"Univariate model, Glas 2003",4.851,2.743,8.578,1.579,1.009,2.149,0,0,1.833,0,0,1.354,0,4.368,0.627,6,7
"MYL1","MYL1","Bivariate model, Reitsma 2005",0.637,0.548,0.717,0.559,0.382,0.722,2.42,2.22,0.993,4.97,1.5,1.44,0.997,2.32,0.672,0.652,0.454,1,0.632,"Univariate model, Glas 2003",5.352,0.335,85.438,1.677,-1.093,4.448,3.001,0,4626.003,1.732,0,68.015,0,1,0.317,1,2
"IGKV2-30","IGKV2-30","Bivariate model, Reitsma 2005",0.641,0.479,0.777,0.688,0.512,0.823,4.05,3.95,2.56,6.08,2.1,2.04,1.51,2.98,0.527,0.526,0.391,0.669,0.711,"Univariate model, Glas 2003",4.358,2.815,6.749,1.472,1.035,1.909,0,0,3.213,0,0,1.792,0,6.099,0.528,7,8
"S100A9","S100A9","Bivariate model, Reitsma 2005",0.635,0.547,0.715,0.668,0.534,0.779,3.59,3.5,2.24,5.47,1.95,1.91,1.44,2.68,0.552,0.549,0.452,0.663,0.686,"Univariate model, Glas 2003",3.822,2.238,6.526,1.341,0.806,1.876,0.184,0,3.848,0.429,0,1.962,11.122,7.876,0.344,7,8
"CKM","CKM","Bivariate model, Reitsma 2005",0.744,0.405,0.925,0.582,0.168,0.906,4.5,4.05,1.65,9.94,2.06,1.75,1.08,4.82,0.481,0.471,0.27,0.742,0.728,"Univariate model, Glas 2003",3.542,1.649,7.607,1.265,0.5,2.029,0,0,21.189,0,0,4.603,0,0.697,0.706,2,3
"ENO1","ENO1","Bivariate model, Reitsma 2005",0.815,0.702,0.891,0.5,0.316,0.685,4.62,4.41,2.42,8.03,1.67,1.62,1.25,2.39,0.382,0.375,0.252,0.548,0.75,"Univariate model, Glas 2003",7.652,2.536,23.095,2.035,0.93,3.14,0.976,0,32.083,0.988,0,5.664,35.174,7.713,0.173,5,6
"PYGL","PYGL","Bivariate model, Reitsma 2005",0.973,0.547,0.999,0.563,0.013,0.992,103,46.4,3.89,554,11.5,2.19,1.01,80.8,0.12,0.072,0.01,0.523,0.95,"Univariate model, Glas 2003",55.11,6.282,483.488,4.009,1.838,6.181,0,0,903.769,0,0,30.063,0,0.361,0.548,1,2
"GPI","GPI","Bivariate model, Reitsma 2005",0.815,0.582,0.933,0.567,0.351,0.76,8.15,5.79,1.15,29.2,1.98,1.86,1.06,3.57,0.377,0.33,0.105,0.918,0.732,"Univariate model, Glas 2003",5.102,1.299,20.038,1.63,0.261,2.998,1.1,0,76.616,1.049,0,8.753,43.093,5.272,0.153,3,4
